p_l_0_depth,p_l_1_depth,p_l_2_depth,p_r_0_depth,p_r_1_depth,p_r_2_depth,p_l_0[x],p_l_0[y],p_l_0[z],p_l_1[x],p_l_1[y],p_l_1[z],p_l_2[x],p_l_2[y],p_l_2[z],p_r_0[x],p_r_0[y],p_r_0[z],p_r_1[x],p_r_1[y],p_r_1[z],p_r_2[x],p_r_2[y],p_r_2[z],t_r_l(0,0),t_r_l(1,0),t_r_l(2,0),t_r_l(3,0),t_r_l(0,1),t_r_l(1,1),t_r_l(2,1),t_r_l(3,1),t_r_l(0,2),t_r_l(1,2),t_r_l(2,2),t_r_l(3,2),t_r_l(0,3),t_r_l(1,3),t_r_l(2,3),t_r_l(3,3),
1.237563,1.600611,1.430432,1.872273,1.533676,2.021619,0.132805,-0.608516,-1.237563,0.506510,-0.502267,-1.600611,-0.063081,-0.557157,-1.430432,-0.578812,-0.132751,-1.872273,-0.207484,-0.293237,-1.533676,-0.372292,-0.044544,-2.021619,-0.009143,-0.476508,0.879122,0.000000,0.228649,0.854871,0.465741,0.000000,-0.973466,0.205268,0.101137,0.000000,-1.643187,0.704766,-1.580450,1.000000,0.703899,0.709080,-0.041609,0.000000,-0.304221,0.353896,0.884425,0.000000,0.641854,-0.609887,0.464824,0.000000,1.187765,-1.116271,0.963603,1.000000,
1.237563,1.600611,1.430432,1.873290,1.533655,2.017500,0.132805,-0.608516,-1.237563,0.506510,-0.502267,-1.600611,-0.063081,-0.557157,-1.430432,-0.579126,-0.132824,-1.873290,-0.207481,-0.293233,-1.533655,-0.371533,-0.044454,-2.017500,-0.009504,-0.481661,0.876306,0.000000,0.221560,0.853549,0.471556,0.000000,-0.975100,0.198636,0.098605,0.000000,-1.649790,0.696366,-1.580688,1.000000,0.703345,0.709167,-0.048871,0.000000,-0.303578,0.361828,0.881431,0.000000,0.642765,-0.605114,0.469777,0.000000,1.190088,-1.106597,0.968801,1.000000,
1.237586,1.600992,1.430373,1.872351,1.533808,2.022305,0.132807,-0.608527,-1.237586,0.506631,-0.502386,-1.600992,-0.063079,-0.557134,-1.430373,-0.578836,-0.132757,-1.872351,-0.207502,-0.293262,-1.533808,-0.372418,-0.044560,-2.022305,-0.009402,-0.475541,0.879644,0.000000,0.229313,0.855214,0.464785,0.000000,-0.973307,0.206083,0.101007,0.000000,-1.642596,0.705865,-1.581335,1.000000,0.703943,0.709084,-0.040800,0.000000,-0.304272,0.352976,0.884775,0.000000,0.641781,-0.610417,0.464229,0.000000,1.187711,-1.117412,0.963044,1.000000,
1.237445,1.599895,1.430659,1.871655,1.533923,2.021127,0.132792,-0.608458,-1.237445,0.506284,-0.502042,-1.599895,-0.063091,-0.557245,-1.430659,-0.578621,-0.132708,-1.871655,-0.207517,-0.293284,-1.533923,-0.372201,-0.044534,-2.021127,-0.008031,-0.477786,0.878439,0.000000,0.229278,0.854185,0.466690,0.000000,-0.973328,0.205155,0.102686,0.000000,-1.642488,0.704341,-1.577275,1.000000,0.704388,0.708641,-0.040809,0.000000,-0.304790,0.353882,0.884235,0.000000,0.641046,-0.610406,0.465257,0.000000,1.185943,-1.117273,0.964532,1.000000,
1.237532,1.600446,1.430465,1.872298,1.533651,2.028304,0.132801,-0.608500,-1.237532,0.506458,-0.502215,-1.600446,-0.063083,-0.557170,-1.430465,-0.578819,-0.132753,-1.872298,-0.207481,-0.293232,-1.533651,-0.373523,-0.044692,-2.028304,-0.009496,-0.469347,0.882963,0.000000,0.236648,0.856864,0.458019,0.000000,-0.971549,0.213301,0.102933,0.000000,-1.635880,0.714945,-1.583469,1.000000,0.703870,0.709545,-0.033364,0.000000,-0.304187,0.343533,0.888513,0.000000,0.641902,-0.615248,0.457637,0.000000,1.187863,-1.127425,0.955474,1.000000,
1.237617,1.599820,1.430586,1.872927,1.533669,2.025427,0.132811,-0.608543,-1.237617,0.506260,-0.502019,-1.599820,-0.063088,-0.557217,-1.430586,-0.579014,-0.132798,-1.872927,-0.207483,-0.293236,-1.533669,-0.372993,-0.044628,-2.025427,-0.009153,-0.473370,0.880816,0.000000,0.232503,0.855704,0.462291,0.000000,-0.972553,0.209023,0.102228,0.000000,-1.639959,0.709494,-1.582066,1.000000,0.703546,0.709625,-0.038149,0.000000,-0.303811,0.348870,0.886560,0.000000,0.642434,-0.612146,0.461038,0.000000,1.189250,-1.121092,0.959135,1.000000,
1.237617,1.599820,1.430586,1.872092,1.533575,2.021078,0.132811,-0.608543,-1.237617,0.506260,-0.502019,-1.599820,-0.063088,-0.557217,-1.430586,-0.578756,-0.132739,-1.872092,-0.207470,-0.293218,-1.533575,-0.372192,-0.044533,-2.021078,-0.008406,-0.477621,0.878526,0.000000,0.228758,0.854340,0.466661,0.000000,-0.973447,0.204892,0.102078,0.000000,-1.643185,0.704175,-1.578452,1.000000,0.703930,0.709026,-0.042006,0.000000,-0.304257,0.354454,0.884189,0.000000,0.641802,-0.609627,0.465236,0.000000,1.187530,-1.115674,0.964020,1.000000,
1.237365,1.599097,1.430300,1.873182,1.533428,2.020985,0.132784,-0.608418,-1.237365,0.506031,-0.501792,-1.599097,-0.063075,-0.557105,-1.430300,-0.579093,-0.132816,-1.873182,-0.207450,-0.293190,-1.533428,-0.372175,-0.044531,-2.020985,-0.008914,-0.478495,0.878045,0.000000,0.226696,0.854251,0.467829,0.000000,-0.973925,0.203220,0.100859,0.000000,-1.645083,0.701919,-1.580337,1.000000,0.703255,0.709550,-0.044402,0.000000,-0.303474,0.356087,0.883802,0.000000,0.642913,-0.608063,0.465750,0.000000,1.190236,-1.112623,0.964104,1.000000,
1.237532,1.599072,1.429994,1.873132,1.533331,2.022243,0.132801,-0.608500,-1.237532,0.506023,-0.501784,-1.599072,-0.063062,-0.556986,-1.429994,-0.579077,-0.132812,-1.873132,-0.207437,-0.293171,-1.533331,-0.372406,-0.044558,-2.022243,-0.008916,-0.476440,0.879162,0.000000,0.229239,0.854808,0.465567,0.000000,-0.973329,0.205689,0.101597,0.000000,-1.642927,0.705158,-1.580859,1.000000,0.703219,0.709685,-0.042792,0.000000,-0.303432,0.354008,0.884651,0.000000,0.642972,-0.609119,0.464286,0.000000,1.190289,-1.114781,0.962382,1.000000,
1.237603,1.599268,1.429850,1.874509,1.533472,2.018396,0.132809,-0.608535,-1.237603,0.506085,-0.501845,-1.599268,-0.063056,-0.556930,-1.429850,-0.579503,-0.132910,-1.874509,-0.207456,-0.293198,-1.533472,-0.371698,-0.044473,-2.018396,-0.009475,-0.481213,0.876553,0.000000,0.222198,0.853664,0.471048,0.000000,-0.974956,0.199231,0.098837,0.000000,-1.649637,0.697053,-1.581953,1.000000,0.702578,0.709827,-0.050295,0.000000,-0.302690,0.362068,0.881638,0.000000,0.644020,-0.604196,0.469239,0.000000,1.193138,-1.104902,0.967625,1.000000,
